Time (s),Temp. (Cel),Displacement (m),Load (N),Displacement Rate (m/s),Strain,Strain Rate (1/s),Stress (Pa)
8.0,23.1932773590088,6.609562635421749e-07,0.0011520144647695102,0.0001781845092773436,6.1030125904171275e-05,0.016452863275839665,88.48037363821123
11.0,23.2321262359619,5.913571119308469e-07,0.0008578124688610432,-8.35189819335936e-05,5.460361144329149e-05,-0.007711817353055733,65.8842141982368
14.0,23.2702388763428,6.83119654655457e-07,0.0007627363302417099,0.0001101150512695314,6.307660707806619e-05,0.010167594761729582,58.58189940412519
17.0,23.3107872009277,6.07264399528503e-07,0.00058217971047461,-9.10263061523436e-05,5.6072428395983646e-05,-0.008405014418498946,44.7142634773126
20.0,23.3557357788086,6.266239881515499e-07,0.0005690049158746374,2.323150634765628e-05,5.786001737318096e-05,0.0021451067726367752,43.702374491139594
23.0,23.3915691375732,6.57275080680847e-07,0.0004708684033039954,3.678131103515628e-05,6.069021982279288e-05,0.0033962429395342822,36.16500793425464
26.0,23.430233001709,5.92768549919128e-07,0.00010539817413669121,-7.74078369140628e-05,5.47339381273433e-05,-0.007147538034539501,8.095097859960923
29.0,23.4638652801514,5.953625440597529e-07,7.811498474790714e-05,3.11279296875e-06,5.497345743857367e-05,0.00028742317347645426,5.999614803986724
32.0,23.4968700408936,5.319050550460819e-07,-0.00010819910256736905,-7.614898681640638e-05,4.911404017046001e-05,-0.007031300721736507,-8.310222931441556
37.0,23.5443344116211,2.5751930236816397e-05,0.01952942110882996,0.01815841735839846,0.0023778328935195195,1.6766775030838834,1499.955538312593
41.0,23.5889701843262,6.05762214660645e-05,0.046752908527779594,0.03134186279296877,0.005593372249867451,2.8939854841153063,3590.8531895376036
45.0,23.6408348083496,9.542051696777339e-05,0.0736053250845432,0.03135986938476564,0.008810758722786093,2.89564814263764,5653.250774542489
49.0,23.6838970184326,0.000130132431030273,0.09981455713477126,0.03124071899414064,0.01201592160944349,2.8846462598467806,7666.248627862617
53.0,23.7279033660889,0.00016554728698730498,0.12638045041356075,0.03187337036132814,0.015285991411570173,2.9430628219139554,9706.639816709736
58.0,23.7662525177002,0.00020094026184081998,0.15278995369172121,0.025482945556640636,0.018554040797859644,2.3529958962733732,11735.019484771216
62.00000000000001,23.8096294403076,0.000236419586181641,0.178786747106361,0.03193139282226563,0.02183006335933896,2.948420389867556,13731.70100663295
66.0,23.8486080169678,0.000271320190429688,0.20433325291423798,0.03141052734375,0.02505264916248273,2.900325701177285,15693.7982269
70.0,23.8806686401367,0.000306518371582031,0.2297646499954221,0.03167836303710936,0.028302712057435918,2.9250566054579274,17647.054531138412
75.0,23.917760848999,0.00034139093017578103,0.2550052965412137,0.025108247680664036,0.03152270823414414,2.3183977544472794,19585.660256621635
79.0,23.957052230835,0.000377490966796875,0.2805239884594917,0.032490025634765635,0.034856044948926586,3.0000023670143703,21545.621233447906
